FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018 178  7   -22  72.4
2018 178  8   -21  72.4
2018 178  9   -20  72.4
2018 178 10   -20  72.4
2018 178 11   -22  72.4
2018 178 12   -22  72.4
2018 178 13   -20  72.4
2018 178 14   -19  72.4
2018 178 15   -18  72.4
2018 178 16   -17  72.4
2018 178 17   -18  72.4
2018 178 18   -18  72.4
2018 178 19   -18  72.4
2018 178 20   -19  72.4
2018 178 21   -18  72.4
2018 178 22   -16  72.4
2018 178 23   -16  72.4
2018 179  0   -17  71.9
2018 179  1   -14  71.9
2018 179  2   -14  71.9
2018 179  3   -15  71.9
2018 179  4   -13  71.9
2018 179  5   -12  71.9
2018 179  6    -9  71.9
2018 179  7    -8  71.9
2018 179  8    -8  71.9
2018 179  9    -8  71.9
2018 179 10    -8  71.9
2018 179 11   -12  71.9
2018 179 12   -15  71.9
2018 179 13   -14  71.9
2018 179 14   -14  71.9
2018 179 15   -14  71.9
2018 179 16   -11  71.9
2018 179 17   -12  71.9
2018 179 18   -17  71.9
2018 179 19   -19  71.9
2018 179 20   -23  71.9
2018 179 21   -22  71.9
2018 179 22   -18  71.9
2018 179 23   -12  71.9
2018 180  0   -11  70.9
2018 180  1   -10  70.9
2018 180  2    -9  70.9
2018 180  3   -10  70.9
2018 180  4   -13  70.9
2018 180  5   -14  70.9
2018 180  6   -13  70.9
2018 180  7   -16  70.9
2018 180  8   -18  70.9
2018 180  9   -16  70.9
2018 180 10   -13  70.9
2018 180 11   -15  70.9
2018 180 12   -16  70.9
2018 180 13   -16  70.9
2018 180 14   -12  70.9
2018 180 15   -12  70.9
2018 180 16   -10  70.9
2018 180 17   -12  70.9
2018 180 18   -13  70.9
2018 180 19   -12  70.9
2018 180 20   -11  70.9
2018 180 21   -11  70.9
2018 180 22   -10  70.9
2018 180 23   -11  70.9
2018 181  0   -12  71.1
2018 181  1   -11  71.1
2018 181  2   -10  71.1
2018 181  3    -8  71.1
2018 181  4    -9  71.1
2018 181  5   -11  71.1
2018 181  6   -10  71.1
2018 181  7    -7  71.1
2018 181  8    -6  71.1
2018 181  9   -10  71.1
2018 181 10    -9  71.1
2018 181 11    -8  71.1
2018 181 12    -9  71.1
2018 181 13    -7  71.1
2018 181 14    -7  71.1
2018 181 15    -9  71.1
2018 181 16    -9  71.1
2018 181 17    -5  71.1
2018 181 18    -5  71.1
2018 181 19    -6  71.1
2018 181 20    -7  71.1
2018 181 21   -10  71.1
2018 181 22    -9  71.1
2018 181 23    -6  71.1
2018 182  0    -1  70.4
2018 182  1     0  70.4
2018 182  2     1  70.4
2018 182  3     4  70.4
2018 182  4     3  70.4
2018 182  5     2  70.4
2018 182  6    -2  70.4
2018 182  7    -4  70.4
2018 182  8    -4  70.4
2018 182  9    -1  70.4
2018 182 10     1  70.4
2018 182 11     2  70.4
2018 182 12     0  70.4
2018 182 13     0  70.4
2018 182 14    -2  70.4
2018 182 15    -3  70.4
2018 182 16    -4  70.4
2018 182 17    -4  70.4
2018 182 18    -1  70.4
2018 182 19     2  70.4
2018 182 20     2  70.4
2018 182 21     2  70.4
2018 182 22     3  70.4
2018 182 23     2  70.4
2018 183  0     1  68.8
2018 183  1     0  68.8
2018 183  2    -3  68.8
2018 183  3    -1  68.8
2018 183  4     2  68.8
2018 183  5     2  68.8
2018 183  6     3  68.8
2018 183  7     4  68.8
2018 183  8     4  68.8
2018 183  9     5  68.8
2018 183 10     4  68.8
2018 183 11     2  68.8
2018 183 12     2  68.8
2018 183 13     4  68.8
2018 183 14     4  68.8
2018 183 15     4  68.8
2018 183 16     4  68.8
2018 183 17     3  68.8
2018 183 18     0  68.8
2018 183 19    -2  68.8
2018 183 20    -1  68.8
2018 183 21     3  68.8
2018 183 22     1  68.8
2018 183 23     0  68.8
2018 184  0     2  70.5
2018 184  1     2  70.5
2018 184  2     2  70.5
2018 184  3     3  70.5
2018 184  4     7  70.5
2018 184  5     9  70.5
2018 184  6     9  70.5
2018 184  7     8  70.5
2018 184  8    10  70.5
2018 184  9    13  70.5
2018 184 10    14  70.5
2018 184 11    14  70.5
2018 184 12    13  70.5
2018 184 13    12  70.5
2018 184 14     9  70.5
2018 184 15     5  70.5
2018 184 16     5  70.5
2018 184 17    10  70.5
2018 184 18    13  70.5
2018 184 19    16  70.5
2018 184 20    19  70.5
2018 184 21    20  70.5
2018 184 22    14  70.5
2018 184 23    12  70.5
2018 185  0    13  70.2
2018 185  1    14  70.2
2018 185  2    13  70.2
2018 185  3    10  70.2
2018 185  4    11  70.2
2018 185  5    11  70.2
2018 185  6    11  70.2
2018 185  7    10  70.2
2018 185  8     9  70.2
2018 185  9     9  70.2
2018 185 10    10  70.2
2018 185 11     9  70.2
2018 185 12     9  70.2
2018 185 13     9  70.2
2018 185 14     8  70.2
2018 185 15     8  70.2
2018 185 16     6  70.2
2018 185 17     5  70.2
2018 185 18     5  70.2
2018 185 19     2  70.2
2018 185 20     4  70.2
2018 185 21     6  70.2
2018 185 22     8  70.2
2018 185 23    11  70.2
2018 186  0    11  70.4
2018 186  1     8  70.4
2018 186  2     6  70.4
2018 186  3     4  70.4
2018 186  4     1  70.4
2018 186  5     2  70.4
2018 186  6     2  70.4
2018 186  7     3  70.4
2018 186  8     7  70.4
2018 186  9     7  70.4
2018 186 10     7  70.4
2018 186 11     8  70.4
2018 186 12    15  70.4
2018 186 13    10  70.4
2018 186 14    12  70.4
2018 186 15     8  70.4
2018 186 16    -1  70.4
2018 186 17    -9  70.4
2018 186 18    -8  70.4
2018 186 19   -23  70.4
2018 186 20   -21  70.4
2018 186 21     0  70.4
2018 186 22    -4  70.4
2018 186 23    -9  70.4
2018 187  0   -11  72.9
2018 187  1   -12  72.9
2018 187  2   -12  72.9
2018 187  3    -8  72.9
2018 187  4    -6  72.9
2018 187  5    -4  72.9
2018 187  6    -2  72.9
2018 187  7    -1  72.9
2018 187  8     5  72.9
2018 187  9    10  72.9
2018 187 10     8  72.9
2018 187 11     9  72.9
2018 187 12    12  72.9
2018 187 13     9  72.9
2018 187 14    10  72.9
2018 187 15     6  72.9
2018 187 16     6  72.9
2018 187 17     4  72.9
2018 187 18    -2  72.9
2018 187 19    -3  72.9
2018 187 20    -4  72.9
2018 187 21    -5  72.9
2018 187 22    -8  72.9
2018 187 23    -4  72.9
2018 188  0     3  74.4
2018 188  1     5  74.4
2018 188  2    -1  74.4
2018 188  3    -4  74.4
2018 188  4    -5  74.4
2018 188  5    -6  74.4
2018 188  6    -7  74.4
2018 188  7    -5  74.4
2018 188  8    -3  74.4
2018 188  9    -1  74.4
2018 188 10    -2  74.4
2018 188 11    -4  74.4
2018 188 12    -6  74.4
2018 188 13    -7  74.4
2018 188 14   -10  74.4
2018 188 15   -10  74.4
2018 188 16    -7  74.4
2018 188 17    -2  74.4
2018 188 18     1  74.4
2018 188 19     1  74.4
2018 188 20     5  74.4
2018 188 21     4  74.4
2018 188 22     2  74.4
2018 188 23     1  74.4
2018 189  0     0  74.0
2018 189  1     2  74.0
2018 189  2     2  74.0
2018 189  3     2  74.0
2018 189  4     1  74.0
2018 189  5    -1  74.0
2018 189  6    -3  74.0
2018 189  7     0  74.0
2018 189  8     0  74.0
2018 189  9     1  74.0
2018 189 10     1  74.0
2018 189 11     0  74.0
2018 189 12     1  74.0
2018 189 13     1  74.0
2018 189 14    -2  74.0
2018 189 15    -2  74.0
2018 189 16    -3  74.0
2018 189 17    -1  74.0
2018 189 18    -2  74.0
2018 189 19    -3  74.0
2018 189 20    -4  74.0
2018 189 21    -3  74.0
2018 189 22    -2  74.0
2018 189 23    -2  74.0
2018 190  0    -1  75.4
2018 190  1     0  75.4
2018 190  2     1  75.4
2018 190  3     0  75.4
2018 190  4    -2  75.4
2018 190  5    -1  75.4
2018 190  6    -2  75.4
2018 190  7    -2  75.4
2018 190  8    -1  75.4
2018 190  9    -1  75.4
2018 190 10    -1  75.4
2018 190 11    -1  75.4
2018 190 12    -2  75.4
2018 190 13    -2  75.4
2018 190 14     0  75.4
2018 190 15     1  75.4
2018 190 16     2  75.4
2018 190 17     1  75.4
2018 190 18     0  75.4
2018 190 19     1  75.4
2018 190 20     3  75.4
2018 190 21     3  75.4
2018 190 22     1  75.4
2018 190 23     4  75.4
2018 191  0     8  74.5
2018 191  1     8  74.5
2018 191  2     6  74.5
2018 191  3     3  74.5
2018 191  4     1  74.5
2018 191  5     4  74.5
2018 191  6     5  74.5
2018 191  7     7  74.5
2018 191  8     8  74.5
2018 191  9     8  74.5
2018 191 10    11  74.5
2018 191 11    16  74.5
2018 191 12    20  74.5
2018 191 13    14  74.5
2018 191 14     4  74.5
2018 191 15     3  74.5
2018 191 16     4  74.5
2018 191 17     6  74.5
2018 191 18     6  74.5
2018 191 19     5  74.5
2018 191 20     3  74.5
2018 191 21     2  74.5
2018 191 22     0  74.5
2018 191 23     1  74.5
2018 192  0     1  75.8
2018 192  1     0  75.8
2018 192  2     0  75.8
2018 192  3     7  75.8
2018 192  4    13  75.8
2018 192  5    14  75.8
2018 192  6    10  75.8
2018 192  7    12  75.8
2018 192  8    17  75.8
2018 192  9     8  75.8
2018 192 10     5  75.8
2018 192 11    11  75.8
2018 192 12    13  75.8
2018 192 13    14  75.8
2018 192 14    17  75.8
2018 192 15    16  75.8
2018 192 16    17  75.8
2018 192 17    10  75.8
2018 192 18     9  75.8
2018 192 19    10  75.8
2018 192 20     6  75.8
2018 192 21     4  75.8
2018 192 22    -1  75.8
2018 192 23     5  75.8
2018 193  0    10  74.6
2018 193  1    11  74.6
2018 193  2     7  74.6
2018 193  3     7  74.6
2018 193  4    16  74.6
2018 193  5    17  74.6
2018 193  6     6  74.6
2018 193  7    -3  74.6
2018 193  8    -3  74.6
2018 193  9     5  74.6
2018 193 10    10  74.6
2018 193 11     9  74.6
2018 193 12     6  74.6
2018 193 13     5  74.6
2018 193 14     1  74.6
2018 193 15    -2  74.6
2018 193 16    -3  74.6
2018 193 17    -2  74.6
2018 193 18     0  74.6
2018 193 19     1  74.6
2018 193 20     1  74.6
2018 193 21     2  74.6
2018 193 22     3  74.6
2018 193 23     7  74.6
2018 194  0     6  74.9
2018 194  1    -1  74.9
2018 194  2    -4  74.9
2018 194  3    -5  74.9
2018 194  4    -2  74.9
2018 194  5    -1  74.9
2018 194  6    -4  74.9
2018 194  7    -4  74.9
2018 194  8    -3  74.9
2018 194  9     0  74.9
2018 194 10     5  74.9
2018 194 11     7  74.9
2018 194 12     8  74.9
2018 194 13     3  74.9
2018 194 14     1  74.9
2018 194 15    -2  74.9
2018 194 16    -1  74.9
2018 194 17     1  74.9
2018 194 18    -2  74.9
2018 194 19    -4  74.9
2018 194 20    -2  74.9
2018 194 21    -3  74.9
2018 194 22    -3  74.9
2018 194 23     0  74.9
2018 195  0     6  74.7
2018 195  1     6  74.7
2018 195  2     6  74.7
2018 195  3     4  74.7
2018 195  4     2  74.7
2018 195  5     2  74.7
2018 195  6     2  74.7
2018 195  7     0  74.7
2018 195  8     1  74.7
2018 195  9     1  74.7
2018 195 10     3  74.7
2018 195 11     4  74.7
2018 195 12     3  74.7
2018 195 13     2  74.7
2018 195 14     1  74.7
2018 195 15     0  74.7
2018 195 16    -1  74.7
2018 195 17    -4  74.7
2018 195 18    -8  74.7
2018 195 19    -7  74.7
2018 195 20    -2  74.7
2018 195 21     1  74.7
2018 195 22     2  74.7
2018 195 23     1  74.7
2018 196  0     1  74.1
2018 196  1     0  74.1
2018 196  2    -2  74.1
2018 196  3    -2  74.1
2018 196  4    -5  74.1
2018 196  5    -6  74.1
2018 196  6    -6  74.1
2018 196  7    -5  74.1
2018 196  8    -4  74.1
2018 196  9    -5  74.1
2018 196 10    -6  74.1
2018 196 11    -6  74.1
2018 196 12    -5  74.1
2018 196 13    -5  74.1
2018 196 14    -5  74.1
2018 196 15    -4  74.1
2018 196 16    -3  74.1
2018 196 17    -2  74.1
2018 196 18     0  74.1
2018 196 19     1  74.1
2018 196 20     0  74.1
2018 196 21     0  74.1
2018 196 22    -1  74.1
2018 196 23    -2  74.1
2018 197  0     1  74.3
2018 197  1     6  74.3
2018 197  2     8  74.3
2018 197  3     4  74.3
2018 197  4     3  74.3
2018 197  5     3  74.3
2018 197  6     7  74.3
2018 197  7     1  74.3
2018 197  8   -10  74.3
2018 197  9   -14  74.3
2018 197 10   -14  74.3
2018 197 11   -13  74.3
2018 197 12    -8  74.3
2018 197 13    -6  74.3
2018 197 14    -7  74.3
2018 197 15    -3  74.3
2018 197 16    -4  74.3
2018 197 17    -5  74.3
2018 197 18    -4  74.3
2018 197 19    -2  74.3
2018 197 20     3  74.3
2018 197 21     7  74.3
2018 197 22    12  74.3
2018 197 23    14  74.3
2018 198  0    18  73.5
2018 198  1    15  73.5
2018 198  2    12  73.5
2018 198  3    12  73.5
2018 198  4    11  73.5
2018 198  5    -1  73.5
2018 198  6   -14  73.5
2018 198  7   -23  73.5
2018 198  8   -14  73.5
2018 198  9    -8  73.5
2018 198 10    -6  73.5
2018 198 11    -5  73.5
2018 198 12    -9  73.5
2018 198 13   -10  73.5
2018 198 14   -10  73.5
2018 198 15   -11  73.5
2018 198 16    -8  73.5
2018 198 17    -8  73.5
2018 198 18    -7  73.5
2018 198 19    -8  73.5
2018 198 20    -9  73.5
2018 198 21    -8  73.5
2018 198 22    -9  73.5
2018 198 23    -9  73.5
2018 199  0    -9  73.6
2018 199  1    -8  73.6
2018 199  2    -4  73.6
2018 199  3    -3  73.6
2018 199  4    -1  73.6
2018 199  5    -1  73.6
2018 199  6    -2  73.6
2018 199  7    -2  73.6
2018 199  8     0  73.6
2018 199  9     0  73.6
2018 199 10     0  73.6
2018 199 11     2  73.6
2018 199 12     4  73.6
2018 199 13     2  73.6
2018 199 14     3  73.6
2018 199 15     4  73.6
2018 199 16     4  73.6
2018 199 17     5  73.6
2018 199 18     4  73.6
2018 199 19     4  73.6
2018 199 20     3  73.6
2018 199 21     0  73.6
2018 199 22     0  73.6
2018 199 23     0  73.6
2018 200  0    -1  72.8
2018 200  1    -2  72.8
2018 200  2     0  72.8
2018 200  3     3  72.8
2018 200  4     5  72.8
2018 200  5     8  72.8
2018 200  6     6  72.8
2018 200  7     6  72.8
2018 200  8     9  72.8
2018 200  9     7  72.8
2018 200 10     5  72.8
2018 200 11     7  72.8
2018 200 12     5  72.8
2018 200 13     3  72.8
2018 200 14     0  72.8
2018 200 15    -1  72.8
2018 200 16    -1  72.8
2018 200 17     0  72.8
2018 200 18     0  72.8
2018 200 19    -1  72.8
2018 200 20    -2  72.8
2018 200 21     1  72.8
2018 200 22     2  72.8
2018 200 23     3  72.8
2018 201  0    -1  72.7
2018 201  1     1  72.7
2018 201  2     2  72.7
2018 201  3     5  72.7
2018 201  4     7  72.7
2018 201  5     7  72.7
2018 201  6    10  72.7
2018 201  7     9  72.7
2018 201  8     6  72.7
2018 201  9     3  72.7
2018 201 10     0  72.7
2018 201 11     0  72.7
2018 201 12     0  72.7
2018 201 13     2  72.7
2018 201 14     2  72.7
2018 201 15     2  72.7
2018 201 16     3  72.7
2018 201 17     4  72.7
2018 201 18     5  72.7
2018 201 19     7  72.7
2018 201 20     5  72.7
2018 201 21     0  72.7
2018 201 22     0  72.7
2018 201 23     2  72.7
2018 202  0     6  72.2
2018 202  1     8  72.2
2018 202  2     9  72.2
2018 202  3     6  72.2
2018 202  4     6  72.2
2018 202  5     0  72.2
2018 202  6    -4  72.2
2018 202  7    -2  72.2
2018 202  8   -11  72.2
2018 202  9   -10  72.2
2018 202 10    -7  72.2
2018 202 11     5  72.2
2018 202 12     7  72.2
2018 202 13     3  72.2
2018 202 14    -2  72.2
2018 202 15    -8  72.2
2018 202 16    -5  72.2
2018 202 17    -3  72.2
2018 202 18    -4  72.2
2018 202 19    -7  72.2
2018 202 20    -7  72.2
2018 202 21    -4  72.2
2018 202 22    -4  72.2
2018 202 23    -7  72.2
2018 203  0    -9  70.4
2018 203  1    -5  70.4
2018 203  2    -2  70.4
2018 203  3    -2  70.4
2018 203  4    -5  70.4
2018 203  5    -8  70.4
2018 203  6   -10  70.4
2018 203  7    -7  70.4
2018 203  8    -8  70.4
2018 203  9   -10  70.4
2018 203 10    -7  70.4
2018 203 11     0  70.4
2018 203 12     1  70.4
2018 203 13     0  70.4
2018 203 14    -2  70.4
2018 203 15    -5  70.4
2018 203 16    -6  70.4
2018 203 17    -6  70.4
2018 203 18    -5  70.4
2018 203 19    -7  70.4
2018 203 20    -7  70.4
2018 203 21    -6  70.4
2018 203 22    -5  70.4
2018 203 23    -2  70.4
2018 204  0    -1  69.1
2018 204  1    -2  69.1
2018 204  2    -3  69.1
2018 204  3    -2  69.1
2018 204  4    -1  69.1
2018 204  5    -3  69.1
2018 204  6    -9  69.1
2018 204  7   -10  69.1
2018 204  8    -6  69.1
2018 204  9    -2  69.1
2018 204 10     0  69.1
2018 204 11     2  69.1
2018 204 12     3  69.1
2018 204 13     2  69.1
2018 204 14    -1  69.1
2018 204 15    -3  69.1
2018 204 16    -4  69.1
2018 204 17    -3  69.1
2018 204 18    -4  69.1
2018 204 19     0  69.1
2018 204 20     0  69.1
2018 204 21     1  69.1
2018 204 22     7  69.1
2018 204 23     9  69.1
2018 205  0     8  69.0
2018 205  1     6  69.0
2018 205  2     6  69.0
2018 205  3     9  69.0
2018 205  4    13  69.0
2018 205  5    14  69.0
2018 205  6    -7  69.0
2018 205  7    -4  69.0
2018 205  8     5  69.0
2018 205  9     0  69.0
2018 205 10    -7  69.0
2018 205 11    -1  69.0
2018 205 12     9  69.0
2018 205 13    12  69.0
2018 205 14     9  69.0
2018 205 15     5  69.0
2018 205 16     1  69.0
2018 205 17    -1  69.0
2018 205 18    -2  69.0
2018 205 19   -10  69.0
2018 205 20   -18  69.0
2018 205 21   -14  69.0
2018 205 22    -9  69.0
2018 205 23    -2  69.0
2018 206  0     0  67.9
2018 206  1    -2  67.9
2018 206  2    -8  67.9
2018 206  3   -12  67.9
2018 206  4   -10  67.9
2018 206  5   -11  67.9
2018 206  6   -15  67.9
2018 206  7   -13  67.9
2018 206  8    -8  67.9
2018 206  9    -8  67.9
2018 206 10    -6  67.9
2018 206 11    -5  67.9
2018 206 12    -2  67.9
2018 206 13    -2  67.9
2018 206 14    -4  67.9
2018 206 15    -6  67.9
2018 206 16    -8  67.9
2018 206 17    -8  67.9
2018 206 18    -7  67.9
2018 206 19    -3  67.9
2018 206 20    -5  67.9
2018 206 21    -7  67.9
2018 206 22    -8  67.9
2018 206 23    -5  67.9
2018 207  0    -1  68.3
2018 207  1     0  68.3
2018 207  2    -5  68.3
2018 207  3    -8  68.3
2018 207  4    -6  68.3
2018 207  5    -3  68.3
2018 207  6    -2  68.3
2018 207  7    -2  68.3
2018 207  8     0  68.3
2018 207  9     1  68.3
2018 207 10     0  68.3
2018 207 11     0  68.3
2018 207 12     0  68.3
2018 207 13     1  68.3
2018 207 14     0  68.3
2018 207 15    -1  68.3
2018 207 16    -3  68.3
2018 207 17    -4  68.3
2018 207 18    -2  68.3
2018 207 19    -2  68.3
2018 207 20    -1  68.3
2018 207 21    -1  68.3
2018 207 22    -3  68.3
2018 207 23    -3  68.3
2018 208  0    -2  68.6
2018 208  1    -1  68.6
2018 208  2    -1  68.6
2018 208  3     1  68.6
2018 208  4     3  68.6
2018 208  5     2  68.6
2018 208  6     3  68.6
2018 208  7     4  68.6
2018 208  8     4  68.6
2018 208  9     7  68.6
2018 208 10     8  68.6
2018 208 11    11  68.6
2018 208 12     9  68.6
2018 208 13     6  68.6
2018 208 14     4  68.6
2018 208 15     4  68.6
2018 208 16     6  68.6
2018 208 17     7  68.6
2018 208 18    10  68.6
2018 208 19    12  68.6
2018 208 20    13  68.6
2018 208 21    11  68.6
2018 208 22    11  68.6
2018 208 23    11  68.6
2018 209  0    12  70.0
2018 209  1    11  70.0
2018 209  2     8  70.0
2018 209  3     6  70.0
2018 209  4     2  70.0
2018 209  5     1  70.0
2018 209  6    -1  70.0
2018 209  7     0  70.0
2018 209  8    -1  70.0
2018 209  9    -2  70.0
2018 209 10     0  70.0
2018 209 11     2  70.0
2018 209 12     3  70.0
2018 209 13     2  70.0
2018 209 14     0  70.0
2018 209 15    -2  70.0
2018 209 16    -3  70.0
2018 209 17    -2  70.0
2018 209 18    -3  70.0
2018 209 19    -1  70.0
2018 209 20     2  70.0
2018 209 21     1  70.0
2018 209 22    -2  70.0
2018 209 23    -1  70.0
2018 210  0     0  70.0
2018 210  1    -3  70.0
2018 210  2    -4  70.0
2018 210  3    -6  70.0
2018 210  4    -8  70.0
2018 210  5   -10  70.0
2018 210  6    -9  70.0
2018 210  7    -9  70.0
2018 210  8    -8  70.0
2018 210  9    -6  70.0
2018 210 10    -4  70.0
2018 210 11    -2  70.0
2018 210 12    -2  70.0
2018 210 13    -2  70.0
2018 210 14    -5  70.0
2018 210 15    -4  70.0
2018 210 16    -5  70.0
2018 210 17    -6  70.0
2018 210 18    -7  70.0
2018 210 19    -6  70.0
2018 210 20     1  70.0
2018 210 21     1  70.0
2018 210 22    -2  70.0
2018 210 23    -2  70.0
2018 211  0    -3  70.4
2018 211  1    -1  70.4
2018 211  2     1  70.4
2018 211  3     2  70.4
2018 211  4     3  70.4
2018 211  5     1  70.4
2018 211  6     0  70.4
2018 211  7     1  70.4
2018 211  8     3  70.4
2018 211  9     5  70.4
2018 211 10     5  70.4
2018 211 11     4  70.4
2018 211 12    10  70.4
2018 211 13    12  70.4
2018 211 14    12  70.4
2018 211 15    16  70.4
2018 211 16    13  70.4
2018 211 17    10  70.4
2018 211 18     5  70.4
2018 211 19     4  70.4
2018 211 20    -1  70.4
2018 211 21    -3  70.4
2018 211 22     0  70.4
2018 211 23     5  70.4
2018 212  0     5  71.0
2018 212  1     1  71.0
2018 212  2    -2  71.0
2018 212  3    -1  71.0
2018 212  4     3  71.0
2018 212  5     2  71.0
2018 212  6     1  71.0
2018 212  7     1  71.0
2018 212  8     1  71.0
2018 212  9     4  71.0
2018 212 10     6  71.0
2018 212 11     9  71.0
2018 212 12     9  71.0
2018 212 13     9  71.0
2018 212 14    11  71.0
2018 212 15    14  71.0
2018 212 16    15  71.0
2018 212 17    17  71.0
2018 212 18    17  71.0
2018 212 19    18  71.0
2018 212 20    21  71.0
2018 212 21    18  71.0
2018 212 22    14  71.0
2018 212 23     9  71.0
2018 213  0     2  72.3
2018 213  1     4  72.3
2018 213  2     7  72.3
2018 213  3     7  72.3
2018 213  4     9  72.3
2018 213  5    10  72.3
2018 213  6    10  72.3
2018 213  7     9  72.3
2018 213  8    10  72.3
2018 213  9     5  72.3
2018 213 10     1  72.3
2018 213 11     3  72.3
2018 213 12     1  72.3
2018 213 13     1  72.3
2018 213 14     6  72.3
2018 213 15     9  72.3
2018 213 16     7  72.3
2018 213 17     9  72.3
2018 213 18     8  72.3
2018 213 19     8  72.3
2018 213 20     4  72.3
2018 213 21    11  72.3
2018 213 22    14  72.3
2018 213 23    15  72.3
2018 214  0    19  72.0
2018 214  1    15  72.0
2018 214  2    12  72.0
2018 214  3     9  72.0
2018 214  4     6  72.0
2018 214  5     4  72.0
2018 214  6     4  72.0
2018 214  7     6  72.0
2018 214  8     6  72.0
2018 214  9     5  72.0
2018 214 10     4  72.0
2018 214 11    10  72.0
2018 214 12    11  72.0
2018 214 13     3  72.0
2018 214 14     3  72.0
2018 214 15     5  72.0
2018 214 16     5  72.0
2018 214 17     6  72.0
2018 214 18     6  72.0
2018 214 19     3  72.0
2018 214 20     5  72.0
2018 214 21     9  72.0
2018 214 22    11  72.0
2018 214 23    11  72.0
2018 215  0    10  72.3
2018 215  1     9  72.3
2018 215  2    15  72.3
2018 215  3    13  72.3
2018 215  4    14  72.3
2018 215  5    12  72.3
2018 215  6     7  72.3
2018 215  7     5  72.3
2018 215  8     4  72.3
2018 215  9    -1  72.3
2018 215 10     2  72.3
2018 215 11     5  72.3
2018 215 12     5  72.3
2018 215 13     2  72.3
2018 215 14     0  72.3
2018 215 15     1  72.3
2018 215 16     0  72.3
2018 215 17     3  72.3
2018 215 18     4  72.3
2018 215 19     3  72.3
2018 215 20     4  72.3
2018 215 21     4  72.3
2018 215 22     3  72.3
2018 215 23     3  72.3
2018 216  0     2  72.5
2018 216  1    -1  72.5
2018 216  2    -8  72.5
2018 216  3   -10  72.5
2018 216  4    -6  72.5
2018 216  5    -2  72.5
2018 216  6     2  72.5
2018 216  7     1  72.5
2018 216  8     2  72.5
2018 216  9     1  72.5
2018 216 10     0  72.5
2018 216 11     1  72.5
2018 216 12     4  72.5
2018 216 13    -3  72.5
2018 216 14    -3  72.5
2018 216 15     0  72.5
2018 216 16    -5  72.5
2018 216 17    -5  72.5
2018 216 18    -3  72.5
2018 216 19    -1  72.5
2018 216 20     2  72.5
2018 216 21     4  72.5
2018 216 22     5  72.5
2018 216 23     6  72.5
2018 217  0     4  71.2
2018 217  1     5  71.2
2018 217  2     3  71.2
2018 217  3    -1  71.2
2018 217  4     4  71.2
2018 217  5     9  71.2
2018 217  6    13  71.2
2018 217  7    12  71.2
2018 217  8    13  71.2
2018 217  9     9  71.2
2018 217 10     5  71.2
2018 217 11    -5  71.2
2018 217 12    -8  71.2
2018 217 13    -8  71.2
2018 217 14    -7  71.2
2018 217 15    -7  71.2
2018 217 16    -8  71.2
2018 217 17    -7  71.2
2018 217 18    -4  71.2
2018 217 19    -4  71.2
2018 217 20    -3  71.2
2018 217 21     0  71.2
2018 217 22     3  71.2
2018 217 23     1  71.2
2018 218  0    -3  71.1
2018 218  1    -5  71.1
2018 218  2    -2  71.1
2018 218  3     1  71.1
2018 218  4     2  71.1
2018 218  5     2  71.1
2018 218  6     3  71.1
2018 218  7     2  71.1
2018 218  8     3  71.1
2018 218  9     4  71.1
2018 218 10     2  71.1
2018 218 11     2  71.1
2018 218 12     5  71.1
2018 218 13     5  71.1
2018 218 14     3  71.1
2018 218 15     4  71.1
2018 218 16     6  71.1
2018 218 17     4  71.1
2018 218 18     3  71.1
2018 218 19     6  71.1
2018 218 20     9  71.1
2018 218 21     9  71.1
2018 218 22    13  71.1
2018 218 23    11  71.1
2018 219  0    12  71.5
2018 219  1    11  71.5
2018 219  2     5  71.5
2018 219  3     2  71.5
2018 219  4     4  71.5
2018 219  5     2  71.5
2018 219  6     4  71.5
2018 219  7     9  71.5
2018 219  8    12  71.5
2018 219  9    11  71.5
2018 219 10     6  71.5
2018 219 11     8  71.5
2018 219 12    14  71.5
2018 219 13    11  71.5
2018 219 14    16  71.5
2018 219 15    16  71.5
2018 219 16    19  71.5
2018 219 17    18  71.5
2018 219 18    10  71.5
2018 219 19     2  71.5
2018 219 20     1  71.5
2018 219 21     4  71.5
2018 219 22     7  71.5
2018 219 23    10  71.5
2018 220  0    10  71.6
2018 220  1     6  71.6
2018 220  2     2  71.6
2018 220  3    -1  71.6
2018 220  4    -3  71.6
2018 220  5    -1  71.6
2018 220  6    -1  71.6
2018 220  7    -3  71.6
2018 220  8     0  71.6
2018 220  9     2  71.6
2018 220 10     1  71.6
2018 220 11     1  71.6
2018 220 12    -1  71.6
2018 220 13     0  71.6
2018 220 14    -2  71.6
2018 220 15    -2  71.6
2018 220 16    -1  71.6
2018 220 17    -4  71.6
2018 220 18    -6  71.6
2018 220 19    -4  71.6
2018 220 20    -4  71.6
2018 220 21    -4  71.6
2018 220 22    -2  71.6
2018 220 23    -2  71.6
2018 221  0    -4  72.2
2018 221  1    -7  72.2
2018 221  2    -7  72.2
2018 221  3   -11  72.2
2018 221  4   -10  72.2
2018 221  5    -6  72.2
2018 221  6    -6  72.2
2018 221  7    -6  72.2
2018 221  8    -2  72.2
