FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018  22  4     1  67.9
2018  22  5    -2  67.9
2018  22  6    -8  67.9
2018  22  7   -15  67.9
2018  22  8   -19  67.9
2018  22  9   -22  67.9
2018  22 10   -16  67.9
2018  22 11   -12  67.9
2018  22 12   -10  67.9
2018  22 13    -8  67.9
2018  22 14    -7  67.9
2018  22 15    -7  67.9
2018  22 16   -11  67.9
2018  22 17   -17  67.9
2018  22 18   -20  67.9
2018  22 19   -21  67.9
2018  22 20   -19  67.9
2018  22 21   -16  67.9
2018  22 22   -16  67.9
2018  22 23   -17  67.9
2018  23  0   -19  68.3
2018  23  1   -19  68.3
2018  23  2   -17  68.3
2018  23  3   -13  68.3
2018  23  4   -10  68.3
2018  23  5    -9  68.3
2018  23  6   -10  68.3
2018  23  7   -13  68.3
2018  23  8   -13  68.3
2018  23  9   -12  68.3
2018  23 10   -11  68.3
2018  23 11    -8  68.3
2018  23 12    -5  68.3
2018  23 13    -3  68.3
2018  23 14    -6  68.3
2018  23 15    -7  68.3
2018  23 16    -8  68.3
2018  23 17    -9  68.3
2018  23 18    -7  68.3
2018  23 19    -5  68.3
2018  23 20    -6  68.3
2018  23 21    -7  68.3
2018  23 22    -5  68.3
2018  23 23    -5  68.3
2018  24  0    -7  67.7
2018  24  1    -6  67.7
2018  24  2    -6  67.7
2018  24  3    -3  67.7
2018  24  4    -1  67.7
2018  24  5     2  67.7
2018  24  6     3  67.7
2018  24  7     1  67.7
2018  24  8     1  67.7
2018  24  9     0  67.7
2018  24 10     1  67.7
2018  24 11     4  67.7
2018  24 12     4  67.7
2018  24 13     3  67.7
2018  24 14    -1  67.7
2018  24 15     2  67.7
2018  24 16     5  67.7
2018  24 17     2  67.7
2018  24 18     8  67.7
2018  24 19    12  67.7
2018  24 20    11  67.7
2018  24 21     3  67.7
2018  24 22    -8  67.7
2018  24 23   -15  67.7
2018  25  0   -19  68.2
2018  25  1   -19  68.2
2018  25  2   -20  68.2
2018  25  3   -19  68.2
2018  25  4   -16  68.2
2018  25  5   -17  68.2
2018  25  6   -16  68.2
2018  25  7   -20  68.2
2018  25  8   -20  68.2
2018  25  9   -18  68.2
2018  25 10   -19  68.2
2018  25 11   -19  68.2
2018  25 12   -15  68.2
2018  25 13   -12  68.2
2018  25 14   -14  68.2
2018  25 15   -16  68.2
2018  25 16   -22  68.2
2018  25 17   -23  68.2
2018  25 18   -21  68.2
2018  25 19   -20  68.2
2018  25 20   -16  68.2
2018  25 21   -13  68.2
2018  25 22    -9  68.2
2018  25 23   -11  68.2
2018  26  0   -15  67.7
2018  26  1   -13  67.7
2018  26  2    -7  67.7
2018  26  3    -5  67.7
2018  26  4    -3  67.7
2018  26  5     0  67.7
2018  26  6    -1  67.7
2018  26  7   -12  67.7
2018  26  8   -15  67.7
2018  26  9   -13  67.7
2018  26 10   -10  67.7
2018  26 11   -10  67.7
2018  26 12    -9  67.7
2018  26 13    -5  67.7
2018  26 14    -7  67.7
2018  26 15    -7  67.7
2018  26 16    -6  67.7
2018  26 17    -9  67.7
2018  26 18    -8  67.7
2018  26 19    -3  67.7
2018  26 20     2  67.7
2018  26 21     3  67.7
2018  26 22     2  67.7
2018  26 23     1  67.7
2018  27  0    -3  66.7
2018  27  1    -8  66.7
2018  27  2    -7  66.7
2018  27  3    -8  66.7
2018  27  4    -5  66.7
2018  27  5    -1  66.7
2018  27  6    -5  66.7
2018  27  7    -8  66.7
2018  27  8   -11  66.7
2018  27  9   -14  66.7
2018  27 10   -10  66.7
2018  27 11    -7  66.7
2018  27 12    -9  66.7
2018  27 13   -12  66.7
2018  27 14   -14  66.7
2018  27 15   -13  66.7
2018  27 16   -10  66.7
2018  27 17    -8  66.7
2018  27 18    -5  66.7
2018  27 19    -3  66.7
2018  27 20    -3  66.7
2018  27 21    -7  66.7
2018  27 22    -6  66.7
2018  27 23    -6  66.7
2018  28  0    -9  66.4
2018  28  1    -7  66.4
2018  28  2    -4  66.4
2018  28  3    -4  66.4
2018  28  4    -1  66.4
2018  28  5     1  66.4
2018  28  6     0  66.4
2018  28  7    -1  66.4
2018  28  8    -2  66.4
2018  28  9    -3  66.4
2018  28 10    -1  66.4
2018  28 11     3  66.4
2018  28 12     3  66.4
2018  28 13     0  66.4
2018  28 14    -1  66.4
2018  28 15    -4  66.4
2018  28 16    -3  66.4
2018  28 17    -4  66.4
2018  28 18    -4  66.4
2018  28 19    -2  66.4
2018  28 20    -1  66.4
2018  28 21    -3  66.4
2018  28 22     2  66.4
2018  28 23     2  66.4
2018  29  0     1  66.2
2018  29  1     1  66.2
2018  29  2     1  66.2
2018  29  3     0  66.2
2018  29  4     0  66.2
2018  29  5    -1  66.2
2018  29  6     0  66.2
2018  29  7     2  66.2
2018  29  8     0  66.2
2018  29  9    -5  66.2
2018  29 10    -4  66.2
2018  29 11    -1  66.2
2018  29 12     3  66.2
2018  29 13     6  66.2
2018  29 14     5  66.2
2018  29 15     4  66.2
2018  29 16     2  66.2
2018  29 17     0  66.2
2018  29 18     2  66.2
2018  29 19     1  66.2
2018  29 20     3  66.2
2018  29 21     3  66.2
